threshold,max fairness violation,sigma gnmax,sigma threshold,budget,achieved budget,accuracy,fairness disparity gaps,expected number answered,number answered,sensitive accuracy
30.0,0.0,10.0,20.0,1.0,0.9984039918116745,100.0,0.0,3.2318639698132037,3,[ nan 100.]
30.0,0.0,10.0,20.0,2.0,1.9977038001501812,94.73684210526316,0.1764704844291268,20.464470775382583,19,[ 93.33333333 100.        ]
30.0,0.0,10.0,20.0,3.0,2.975753723288366,92.5,0.07792237589195605,38.698396047571066,40,[ 90.90909091 100.        ]
30.0,0.0,10.0,20.0,4.0,3.995705650419951,90.54054054054055,0.045634996260018046,72.48434894088736,74,[ 88.70967742 100.        ]
30.0,0.0,10.0,20.0,5.0,4.9968080008643625,88.33333333333333,0.018947295689786647,113.5529297547212,120,[88.54166667 87.5       ]
30.0,0.0,10.0,20.0,6.0,5.661305372405044,86.70886075949367,0.0021185819179322385,137.57477925573812,158,[87.02290076 85.18518519]
30.0,0.0,10.0,20.0,7.0,5.661305372405044,86.70886075949367,0.0021185819179322385,137.57477925573812,158,[87.02290076 85.18518519]
30.0,0.0,10.0,20.0,8.0,5.661305372405044,86.70886075949367,0.0021185819179322385,137.57477925573812,158,[87.02290076 85.18518519]
30.0,0.0,10.0,20.0,9.0,5.661305372405044,86.70886075949367,0.0021185819179322385,137.57477925573812,158,[87.02290076 85.18518519]
30.0,0.0,10.0,20.0,10.0,5.661305372405044,86.70886075949367,0.0021185819179322385,137.57477925573812,158,[87.02290076 85.18518519]
30.0,0.0,10.0,20.0,11.0,5.661305372405044,86.70886075949367,0.0021185819179322385,137.57477925573812,158,[87.02290076 85.18518519]
30.0,0.0,10.0,20.0,12.0,5.661305372405044,86.70886075949367,0.0021185819179322385,137.57477925573812,158,[87.02290076 85.18518519]
30.0,0.0,10.0,20.0,13.0,5.661305372405044,86.70886075949367,0.0021185819179322385,137.57477925573812,158,[87.02290076 85.18518519]
30.0,0.0,10.0,20.0,14.0,5.661305372405044,86.70886075949367,0.0021185819179322385,137.57477925573812,158,[87.02290076 85.18518519]
30.0,0.0,10.0,20.0,15.0,5.661305372405044,86.70886075949367,0.0021185819179322385,137.57477925573812,158,[87.02290076 85.18518519]
30.0,0.0,10.0,20.0,16.0,5.661305372405044,86.70886075949367,0.0021185819179322385,137.57477925573812,158,[87.02290076 85.18518519]
30.0,0.05,10.0,20.0,1.0,0.9984039918116745,100.0,0.0,3.2318639698132037,3,[ nan 100.]
30.0,0.05,10.0,20.0,2.0,1.9977038001501812,94.73684210526316,0.1764704844291268,20.464470775382583,19,[ 93.33333333 100.        ]
