threshold,max fairness violation,sigma gnmax,sigma threshold,budget,achieved budget,accuracy,fairness disparity gaps,expected number answered,number answered,sensitive accuracy
50.0,0.0,15.0,40.0,10.0,4.635066021118096,86.91588785046729,0.0024255167309616965,300.28468993157855,321,[86.5248227  82.89473684 94.87179487 86.04651163 90.90909091]
50.0,0.05,15.0,40.0,10.0,9.703482880373215,87.7511961722488,0.041712521308292616,1049.4677847163239,1045,[86.83602771 86.44859813 93.24324324 87.86127168 85.71428571]
50.0,0.1,15.0,40.0,10.0,9.987951331690407,88.19320214669052,0.09963771683687683,1116.8355769323366,1118,[88.31168831 87.98283262 91.02564103 86.41304348 86.74698795]
50.0,0.15,15.0,40.0,10.0,9.994851496406369,86.76731793960924,0.14358144870360545,1121.1160928253296,1126,[86.20689655 86.32478632 89.93710692 86.02150538 86.74698795]
50.0,0.2,15.0,40.0,10.0,9.998273846337149,87.48882931188561,0.1976598816217608,1116.958646379171,1119,[86.14718615 88.41201717 89.1025641  89.18918919 85.54216867]
50.0,0.25,15.0,40.0,10.0,9.994863305400077,87.38898756660745,0.21179458600121553,1117.1337039871366,1126,[87.93103448 87.17948718 83.01886792 88.70967742 90.36144578]
50.0,0.3,15.0,40.0,10.0,9.996139185682043,87.38898756660745,0.21179458600121553,1117.9925166229716,1126,[87.93103448 87.17948718 83.01886792 88.70967742 90.36144578]
50.0,0.35,15.0,40.0,10.0,9.996139185682043,87.38898756660745,0.21179458600121553,1117.9925166229716,1126,[87.93103448 87.17948718 83.01886792 88.70967742 90.36144578]
50.0,0.4,15.0,40.0,10.0,9.996139185682043,87.38898756660745,0.21179458600121553,1117.9925166229716,1126,[87.93103448 87.17948718 83.01886792 88.70967742 90.36144578]
50.0,0.45,15.0,40.0,10.0,9.996139185682043,87.38898756660745,0.21179458600121553,1117.9925166229716,1126,[87.93103448 87.17948718 83.01886792 88.70967742 90.36144578]
50.0,0.5,15.0,40.0,10.0,9.996139185682043,87.38898756660745,0.21179458600121553,1117.9925166229716,1126,[87.93103448 87.17948718 83.01886792 88.70967742 90.36144578]
